Format Version,1.23,Take Name,Take 2023-05-09 06.27.02 PM_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-09 06.32.59.993 오후,Capture Start Frame,509581,Total Frames in Take,466,Total Exported Frames,466,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,"c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4",test1,test1,test1,test1,test1,test1,test1,test1,"test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker7",Unlabeled 1322,Unlabeled 1322,Unlabeled 1322,c-arm:Marker1,c-arm:Marker1,c-arm:Marker1,c-arm:Marker2,c-arm:Marker2,c-arm:Marker2,c-arm:Marker3,c-arm:Marker3,c-arm:Marker3,c-arm:Marker4,c-arm:Marker4,c-arm:Marker4,test1:Marker1,test1:Marker1,test1:Marker1,test1:Marker2,test1:Marker2,test1:Marker2,test1:Marker3,test1:Marker3,test1:Marker3,test1:Marker4,test1:Marker4,test1:Marker4,test1:Marker5,test1:Marker5,test1:Marker5,test1:Marker6,test1:Marker6,test1:Marker6,test1:Marker7,test1:Marker7,test1:Marker7
,ID,"BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","C7670","C7670","C7670","C7350","C7350","C7350","C73B0","C73B0","C73B0","C73C0","C73C0","C73C0","C73A0","C73A0","C73A0","C7320","C7320","C7320","C7360","C7360","C7360","C7400","C7400","C7400","C7370","C7370","C7370","C7380","C7380","C7380","C7390","C7390","C7390","C7310","C7310","C7310"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.690159,0.721935,0.022621,0.044489,0.076704,0.600009,-0.559047,0.000991,-0.021204,0.614837,-0.569216,0.975353,0.116705,0.636520,-0.555785,0.673762,0.069455,0.567611,-0.557059,0.660734,0.141862,0.581067,-0.554131,0.682692,-0.020597,0.311016,-0.240110,-0.919343,0.039450,0.276358,-0.408890,0.001092,0.078063,0.266137,-0.418193,0.917778,-0.016548,0.246681,-0.463269,0.969288,0.014503,0.279180,-0.408176,0.847554,0.093470,0.292058,-0.378056,0.723951,0.046067,0.303028,-0.366784,0.895102,-0.017742,0.306445,-0.369551,0.983567,0.078435,0.241097,-0.458457,0.902773,0.086817,0.713264,-0.538034,-0.021106,0.614847,-0.569222,0.116552,0.636054,-0.554575,0.069575,0.568023,-0.558346,0.141762,0.581374,-0.555358,0.078131,0.266229,-0.417885,-0.016638,0.246673,-0.463352,0.014587,0.279001,-0.407599,0.093609,0.292267,-0.379131,0.045862,0.302894,-0.366444,-0.017800,0.306474,-0.369562,0.078423,0.240902,-0.458120
1,0.008333,0.690246,0.721789,0.022168,0.045711,0.076689,0.599995,-0.558969,0.000996,-0.021202,0.614842,-0.569284,0.975353,0.116701,0.636497,-0.555746,0.673762,0.069424,0.567606,-0.556914,0.660734,0.141833,0.581037,-0.553934,0.682692,-0.020585,0.311074,-0.240059,-0.919337,0.039442,0.276345,-0.408850,0.001092,0.078054,0.266119,-0.418148,0.917778,-0.016553,0.246675,-0.463236,0.969288,0.014495,0.279168,-0.408138,0.847554,0.093460,0.292038,-0.378009,0.723951,0.046057,0.303012,-0.366742,0.895102,-0.017752,0.306435,-0.369516,0.983567,0.078429,0.241081,-0.458413,0.902773,0.086827,0.713268,-0.538128,-0.021124,0.614856,-0.569259,0.116556,0.636012,-0.554521,0.069563,0.568030,-0.558330,0.141730,0.581344,-0.555059,0.078131,0.266235,-0.417917,-0.016638,0.246676,-0.463351,0.014582,0.278989,-0.407581,0.093581,0.292176,-0.378847,0.045870,0.302896,-0.366462,-0.017810,0.306464,-0.369516,0.078414,0.240909,-0.458124
2,0.016667,0.690264,0.721783,0.022842,0.045196,0.076692,0.599999,-0.558970,0.001000,-0.021198,0.614857,-0.569278,0.979337,0.116701,0.636497,-0.555678,0.668635,0.069428,0.567605,-0.556970,0.628657,0.141836,0.581035,-0.553954,0.707241,-0.020515,0.311074,-0.240066,-0.919337,0.039444,0.276341,-0.408850,0.001096,0.078057,0.266113,-0.418145,0.932528,-0.016550,0.246665,-0.463233,0.964092,0.014497,0.279165,-0.408139,0.852105,0.093462,0.292036,-0.378008,0.785467,0.046058,0.303014,-0.366745,0.911047,-0.017750,0.306439,-0.369522,0.983738,0.078432,0.241069,-0.458407,0.915860,0.086810,0.713259,-0.537979,-0.021114,0.614867,-0.569227,0.116550,0.636018,-0.554519,0.069565,0.568027,-0.558378,0.141733,0.581343,-0.555075,0.078133,0.266226,-0.417904,-0.016637,0.246662,-0.463344,0.014582,0.279002,-0.407602,0.093584,0.292169,-0.378836,0.045876,0.302899,-0.366471,-0.017804,0.306479,-0.369574,0.078421,0.240886,-0.458086
3,0.025000,0.690221,0.721820,0.022982,0.045202,0.076692,0.600015,-0.558974,0.000990,-0.021198,0.614863,-0.569299,0.975214,0.116696,0.636518,-0.555667,0.684347,0.069432,0.567620,-0.556982,0.631063,0.141837,0.581059,-0.553949,0.708318,-0.020528,0.311077,-0.240060,-0.919337,0.039440,0.276342,-0.408836,0.001092,0.078053,0.266114,-0.418133,0.930632,-0.016554,0.246668,-0.463221,0.964750,0.014493,0.279166,-0.408126,0.858144,0.093459,0.292036,-0.377995,0.788227,0.046055,0.303013,-0.366731,0.912779,-0.017753,0.306439,-0.369508,0.978693,0.078428,0.241071,-0.458395,0.907528,0.086810,0.713264,-0.537956,-0.021115,0.614867,-0.569256,0.116552,0.636064,-0.554500,0.069564,0.568041,-0.558351,0.141731,0.581347,-0.555075,0.078128,0.266228,-0.417882,-0.016640,0.246674,-0.463345,0.014586,0.279001,-0.407607,0.093583,0.292159,-0.378795,0.045867,0.302889,-0.366411,-0.017809,0.306477,-0.369553,0.078413,0.240897,-0.458113
4,0.033333,0.690165,0.721887,0.023854,0.044523,0.076703,0.600023,-0.559035,0.000990,-0.021188,0.614866,-0.569349,0.976697,0.116696,0.636530,-0.555639,0.684932,0.069452,0.567622,-0.557115,0.640384,0.141853,0.581074,-0.554037,0.708099,-0.020558,0.311098,-0.240051,-0.919332,0.039442,0.276349,-0.408855,0.001093,0.078055,0.266122,-0.418151,0.928593,-0.016550,0.246679,-0.463244,0.962124,0.014495,0.279173,-0.408145,0.861983,0.093460,0.292041,-0.378011,0.795236,0.046056,0.303017,-0.366748,0.902185,-0.017753,0.306442,-0.369526,0.979730,0.078432,0.241082,-0.458415,0.916978,0.086816,0.713254,-0.538001,-0.021115,0.614864,-0.569231,0.116548,0.636060,-0.554533,0.069616,0.568082,-0.558659,0.141729,0.581356,-0.555070,0.078134,0.266237,-0.417930,-0.016641,0.246664,-0.463303,0.014584,0.279020,-0.407664,0.093582,0.292185,-0.378853,0.045867,0.302893,-0.366444,-0.017805,0.306486,-0.369589,0.078421,0.240892,-0.458082
5,0.041667,0.690212,0.721849,0.022856,0.044934,0.076681,0.600017,-0.559003,0.000987,-0.021215,0.614862,-0.569271,0.965156,0.116685,0.636521,-0.555711,0.697394,0.069424,0.567621,-0.557013,0.595160,0.141830,0.581063,-0.554018,0.730430,-0.020572,0.311074,-0.240063,-0.919336,0.039443,0.276342,-0.408843,0.001096,0.078056,0.266116,-0.418141,0.934584,-0.016552,0.246671,-0.463228,0.972474,0.014496,0.279166,-0.408131,0.871943,0.093461,0.292036,-0.378001,0.784346,0.046057,0.303011,-0.366736,0.905273,-0.017751,0.306434,-0.369510,0.976782,0.078431,0.241077,-0.458405,0.903929,0.086837,0.713295,-0.538205,-0.021145,0.614872,-0.569270,0.116548,0.636068,-0.554517,0.069569,0.568039,-0.558351,0.141722,0.581340,-0.555113,0.078134,0.266238,-0.417885,-0.016641,0.246672,-0.463359,0.014576,0.278983,-0.407545,0.093589,0.292153,-0.378812,0.045866,0.302887,-0.366432,-0.017800,0.306487,-0.369589,0.078421,0.240904,-0.458120
