Format Version,1.23,Take Name,Take 2023-05-09 06.27.02 PM_018,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-09 06.41.58.803 오후,Capture Start Frame,574244,Total Frames in Take,570,Total Exported Frames,570,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.723460,0.688776,0.024510,0.039900,0.110380,0.473957,-0.569922,0.000954,0.014264,0.497998,-0.579576,0.893164,0.153621,0.506527,-0.566299,0.877603,0.100141,0.442354,-0.568344,0.806952,0.173493,0.448950,-0.565468,0.699782,-0.020536,0.311151,-0.239550,-0.919445,0.039493,0.276375,-0.409055,0.001100,0.078096,0.266112,-0.418353,0.923577,-0.016528,0.246776,-0.463453,0.965668,0.014549,0.279224,-0.408345,0.831062,0.093525,0.292005,-0.378206,0.722068,0.046132,0.303024,-0.366940,0.898614,-0.017673,0.306514,-0.369718,0.981764,0.078448,0.241084,-0.458625,0.890308,-0.001665,0.591949,-0.530452,0.096528,0.589420,-0.506299,0.014372,0.497841,-0.579274,0.153549,0.506413,-0.565710,0.100159,0.442696,-0.568998,0.173354,0.449111,-0.566563,0.078170,0.266204,-0.418054,-0.016610,0.246802,-0.463607,0.014633,0.279014,-0.407730,0.093667,0.292202,-0.379225,0.045937,0.302893,-0.366609,-0.017740,0.306554,-0.369752,0.078432,0.240873,-0.458236
7,0.058333,0.723388,0.688825,0.023804,0.040785,0.110381,0.473946,-0.569924,0.000981,0.014266,0.497958,-0.579652,0.887155,0.153619,0.506527,-0.566366,0.870071,0.100144,0.442345,-0.568277,0.787874,0.173495,0.448953,-0.565401,0.711256,-0.020766,0.311464,-0.239392,-0.919375,0.039516,0.276370,-0.409041,0.001097,0.078123,0.266109,-0.418326,0.922822,-0.016481,0.246816,-0.463486,0.960233,0.014572,0.279222,-0.408340,0.827057,0.093535,0.291973,-0.378153,0.721054,0.046137,0.302991,-0.366904,0.905553,-0.017666,0.306490,-0.369712,0.976772,0.078492,0.241108,-0.458614,0.891123,-0.002602,0.591379,-0.526564,0.096519,0.589421,-0.506219,0.014393,0.497778,-0.579258,0.153522,0.506422,-0.565867,0.100156,0.442719,-0.569038,0.173354,0.449129,-0.566534,0.078176,0.266204,-0.418037,-0.016614,0.246802,-0.463572,0.014626,0.279008,-0.407685,0.093666,0.292189,-0.379240,0.045937,0.302889,-0.366600,-0.017736,0.306545,-0.369738,0.078432,0.240886,-0.458244
8,0.066667,0.723478,0.688746,0.024688,0.039979,0.110378,0.473963,-0.569927,0.000960,0.014267,0.498011,-0.579614,0.887155,0.153619,0.506530,-0.566284,0.870071,0.100136,0.442360,-0.568357,0.787874,0.173488,0.448952,-0.565453,0.711256,-0.020633,0.311151,-0.239550,-0.919443,0.039492,0.276371,-0.409039,0.001099,0.078095,0.266113,-0.418341,0.922822,-0.016529,0.246779,-0.463440,0.960233,0.014548,0.279219,-0.408327,0.827057,0.093525,0.291999,-0.378189,0.721054,0.046131,0.303014,-0.366920,0.905553,-0.017674,0.306500,-0.369694,0.976772,0.078447,0.241092,-0.458617,0.891123,-0.001683,0.591933,-0.530401,0.096512,0.589379,-0.506110,0.014375,0.497850,-0.579281,0.153546,0.506409,-0.565699,0.100144,0.442712,-0.569072,0.173358,0.449114,-0.566510,0.078172,0.266213,-0.418041,-0.016619,0.246772,-0.463517,0.014629,0.279021,-0.407701,0.093664,0.292221,-0.379309,0.045933,0.302875,-0.366570,-0.017743,0.306534,-0.369723,0.078431,0.240877,-0.458239
9,0.075000,0.723274,0.689018,0.023588,0.039658,0.110357,0.473933,-0.569803,0.000974,0.014212,0.497912,-0.579320,0.878232,0.153587,0.506530,-0.566284,0.847190,0.100138,0.442325,-0.568178,0.774529,0.173491,0.448964,-0.565432,0.724230,-0.020639,0.311147,-0.239562,-0.919441,0.039497,0.276380,-0.409060,0.001100,0.078100,0.266122,-0.418362,0.912111,-0.016524,0.246786,-0.463460,0.958094,0.014552,0.279226,-0.408347,0.834198,0.093529,0.292009,-0.378210,0.740281,0.046136,0.303022,-0.366940,0.904984,-0.017669,0.306507,-0.369714,0.973946,0.078452,0.241101,-0.458638,0.892199,-0.001675,0.591954,-0.530486,0.096518,0.589400,-0.506127,0.014308,0.497719,-0.578883,0.153543,0.506419,-0.565684,0.100158,0.442702,-0.568997,0.173329,0.449129,-0.566510,0.078175,0.266200,-0.418027,-0.016613,0.246804,-0.463601,0.014636,0.279024,-0.407721,0.093671,0.292202,-0.379221,0.045937,0.302903,-0.366639,-0.017737,0.306551,-0.369780,0.078436,0.240893,-0.458261
10,0.083333,0.723438,0.688784,0.024102,0.040405,0.110379,0.473956,-0.569926,0.000972,0.014265,0.497986,-0.579622,0.878232,0.153620,0.506530,-0.566341,0.847190,0.100139,0.442355,-0.568308,0.774529,0.173491,0.448953,-0.565433,0.724230,-0.020637,0.311129,-0.239565,-0.919446,0.039496,0.276381,-0.409057,0.001100,0.078099,0.266123,-0.418360,0.912111,-0.016527,0.246786,-0.463454,0.958094,0.014551,0.279227,-0.408343,0.834198,0.093529,0.292010,-0.378210,0.740281,0.046136,0.303024,-0.366938,0.904984,-0.017669,0.306508,-0.369710,0.973946,0.078450,0.241102,-0.458636,0.892199,-0.002586,0.591385,-0.526585,0.096525,0.589410,-0.506307,0.014393,0.497829,-0.579282,0.153518,0.506429,-0.565876,0.100158,0.442695,-0.568975,0.173348,0.449133,-0.566556,0.078179,0.266225,-0.418073,-0.016612,0.246786,-0.463543,0.014633,0.279018,-0.407722,0.093670,0.292211,-0.379255,0.045940,0.302900,-0.366623,-0.017734,0.306558,-0.369780,0.078432,0.240886,-0.458239
11,0.091667,0.723484,0.688704,0.024628,0.040637,0.110382,0.473961,-0.569897,0.000963,0.014282,0.498009,-0.579688,0.886322,0.153625,0.506527,-0.566252,0.847316,0.100136,0.442360,-0.568303,0.796712,0.173486,0.448947,-0.565346,0.698041,-0.020555,0.311157,-0.239540,-0.919445,0.039495,0.276383,-0.409073,0.001099,0.078098,0.266120,-0.418371,0.930452,-0.016526,0.246787,-0.463472,0.961477,0.014551,0.279232,-0.408362,0.827988,0.093527,0.292011,-0.378222,0.726185,0.046134,0.303030,-0.366956,0.891886,-0.017671,0.306520,-0.369734,0.980002,0.078450,0.241094,-0.458644,0.888503,-0.001663,0.591951,-0.530520,0.096516,0.589416,-0.506176,0.014393,0.497830,-0.579285,0.153557,0.506408,-0.565657,0.100154,0.442718,-0.569033,0.173326,0.449140,-0.566527,0.078172,0.266234,-0.418128,-0.016609,0.246797,-0.463601,0.014630,0.279020,-0.407712,0.093666,0.292217,-0.379289,0.045939,0.302889,-0.366597,-0.017740,0.306557,-0.369749,0.078431,0.240883,-0.458251
12,0.100000,0.723487,0.688738,0.024599,0.040015,0.110382,0.473967,-0.569901,0.000958,0.014271,0.498016,-0.579585,0.886322,0.153625,0.506533,-0.566267,0.847316,0.100139,0.442364,-0.568325,0.796712,0.173491,0.448954,-0.565428,0.698041,-0.020615,0.311173,-0.239540,-0.919438,0.039495,0.276377,-0.409037,0.001096,0.078099,0.266117,-0.418337,0.930452,-0.016524,0.246785,-0.463440,0.961477,0.014551,0.279225,-0.408326,0.827988,0.093527,0.292003,-0.378185,0.726185,0.046133,0.303020,-0.366918,0.891886,-0.017672,0.306507,-0.369696,0.980002,0.078452,0.241095,-0.458612,0.888503,-0.001655,0.591953,-0.530500,0.096526,0.589399,-0.506233,0.014377,0.497862,-0.579289,0.153553,0.506414,-0.565672,0.100153,0.442704,-0.568983,0.173360,0.449113,-0.566497,0.078175,0.266197,-0.418003,-0.016613,0.246791,-0.463546,0.014630,0.279019,-0.407688,0.093670,0.292206,-0.379215,0.045935,0.302883,-0.366580,-0.017741,0.306555,-0.369764,0.078434,0.240894,-0.458261
13,0.108333,0.723485,0.688737,0.024652,0.040035,0.110380,0.473973,-0.569912,0.000957,0.014270,0.498022,-0.579605,0.904633,0.153622,0.506539,-0.566272,0.847433,0.100137,0.442370,-0.568339,0.818707,0.173489,0.448960,-0.565434,0.702125,-0.020648,0.311136,-0.239530,-0.919453,0.039493,0.276390,-0.409070,0.001097,0.078096,0.266130,-0.418374,0.920444,-0.016532,0.246801,-0.463469,0.966725,0.014549,0.279238,-0.408356,0.840051,0.093528,0.292015,-0.378222,0.732276,0.046135,0.303031,-0.366950,0.891683,-0.017670,0.306519,-0.369722,0.978920,0.078445,0.241111,-0.458650,0.894351,-0.001664,0.591958,-0.530500,0.096515,0.589406,-0.506183,0.014379,0.497863,-0.579275,0.153551,0.506414,-0.565679,0.100163,0.442701,-0.568983,0.173333,0.449153,-0.566599,0.078179,0.266226,-0.418082,-0.016620,0.246804,-0.463569,0.014630,0.279038,-0.407754,0.093670,0.292219,-0.379263,0.045939,0.302890,-0.366590,-0.017741,0.306556,-0.369748,0.078433,0.240905,-0.458282
14,0.116667,0.723325,0.688981,0.023515,0.039421,0.110365,0.473945,-0.569809,0.000960,0.014219,0.497939,-0.579278,0.904633,0.153600,0.506536,-0.566300,0.847433,0.100142,0.442339,-0.568187,0.818707,0.173498,0.448968,-0.565471,0.702125,-0.020623,0.311195,-0.239470,-0.919449,0.039497,0.276374,-0.409035,0.001097,0.078100,0.266110,-0.418334,0.920444,-0.016525,0.246793,-0.463441,0.966725,0.014553,0.279225,-0.408324,0.840051,0.093530,0.291991,-0.378180,0.732276,0.046137,0.303013,-0.366913,0.891683,-0.017667,0.306509,-0.369693,0.978920,0.078451,0.241091,-0.458611,0.894351,-0.001666,0.591949,-0.530486,0.096528,0.589405,-0.506227,0.014311,0.497776,-0.578942,0.153547,0.506414,-0.565677,0.100162,0.442702,-0.568951,0.173355,0.449119,-0.566497,0.078176,0.266211,-0.418063,-0.016605,0.246822,-0.463613,0.014625,0.279014,-0.407674,0.093673,0.292203,-0.379256,0.045935,0.302889,-0.366589,-0.017732,0.306521,-0.369644,0.078434,0.240873,-0.458211
15,0.125000,0.723482,0.688735,0.024475,0.040235,0.110380,0.473964,-0.569911,0.000955,0.014271,0.498011,-0.579618,0.907167,0.153623,0.506531,-0.566287,0.846824,0.100136,0.442363,-0.568321,0.822882,0.173488,0.448952,-0.565418,0.705316,-0.020587,0.311160,-0.239534,-0.919445,0.039494,0.276380,-0.409043,0.001099,0.078097,0.266119,-0.418342,0.926039,-0.016528,0.246787,-0.463443,0.966965,0.014549,0.279229,-0.408332,0.829608,0.093526,0.292007,-0.378192,0.741936,0.046133,0.303025,-0.366925,0.902075,-0.017672,0.306515,-0.369702,0.970428,0.078448,0.241095,-0.458617,0.890250,-0.001649,0.591970,-0.530603,0.096534,0.589430,-0.506348,0.014378,0.497854,-0.579299,0.153553,0.506408,-0.565691,0.100160,0.442689,-0.568949,0.173337,0.449141,-0.566571,0.078173,0.266225,-0.418077,-0.016612,0.246792,-0.463545,0.014631,0.279021,-0.407688,0.093668,0.292202,-0.379196,0.045936,0.302896,-0.366612,-0.017735,0.306567,-0.369788,0.078433,0.240880,-0.458234
