Format Version,1.23,Take Name,Take 2023-05-09 06.27.02 PM_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-09 06.33.52.381 오후,Capture Start Frame,515868,Total Frames in Take,535,Total Exported Frames,535,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.623939,0.779199,0.029632,0.051686,0.007231,0.622806,-0.572730,0.000937,-0.091558,0.620269,-0.584723,0.944073,0.040191,0.665753,-0.569140,0.797696,0.005700,0.589655,-0.570547,0.711489,0.074589,0.615548,-0.566509,0.698294,-0.020506,0.311093,-0.240049,-0.919335,0.039446,0.276334,-0.408807,0.001093,0.078059,0.266105,-0.418101,0.927232,-0.016546,0.246661,-0.463193,0.958429,0.014499,0.279160,-0.408097,0.855088,0.093464,0.292028,-0.377963,0.790877,0.046060,0.303006,-0.366702,0.915084,-0.017748,0.306434,-0.369481,0.978139,0.078435,0.241061,-0.458363,0.913183,-0.134051,0.673382,-0.528724,,,,,,,,,,,,,-0.091351,0.620223,-0.584677,0.040113,0.665517,-0.568314,0.005729,0.590013,-0.571776,0.074454,0.615702,-0.567675,0.078136,0.266229,-0.417881,-0.016639,0.246659,-0.463311,0.014587,0.278999,-0.407569,0.093585,0.292149,-0.378767,0.045865,0.302881,-0.366381,-0.017795,0.306490,-0.369585,0.078420,0.240871,-0.458028
7,0.058333,0.623882,0.779317,0.028821,0.051048,0.007238,0.622825,-0.572810,0.000937,-0.091573,0.620263,-0.584603,0.945839,0.040198,0.665780,-0.569307,0.784312,0.005719,0.589674,-0.570608,0.680073,0.074610,0.615582,-0.566721,0.704043,-0.020565,0.311071,-0.240067,-0.919336,0.039446,0.276340,-0.408820,0.001094,0.078059,0.266114,-0.418118,0.934045,-0.016548,0.246667,-0.463205,0.962308,0.014499,0.279163,-0.408109,0.860441,0.093464,0.292034,-0.377979,0.794412,0.046061,0.303009,-0.366714,0.901066,-0.017748,0.306432,-0.369488,0.968361,0.078434,0.241074,-0.458382,0.903631,-0.134011,0.673379,-0.528969,,,,,,,,,,,,,-0.091354,0.620223,-0.584660,0.040118,0.665529,-0.568314,0.005702,0.590002,-0.571642,0.074504,0.615766,-0.568067,0.078136,0.266244,-0.417909,-0.016637,0.246675,-0.463338,0.014590,0.278999,-0.407583,0.093584,0.292158,-0.378785,0.045875,0.302900,-0.366443,-0.017803,0.306462,-0.369512,0.078422,0.240881,-0.458049
8,0.066667,0.623896,0.779285,0.029350,0.051066,0.007238,0.622820,-0.572821,0.000933,-0.091565,0.620269,-0.584684,0.946841,0.040196,0.665772,-0.569261,0.757361,0.005717,0.589668,-0.570647,0.707403,0.074606,0.615572,-0.566692,0.685059,-0.020515,0.311081,-0.240079,-0.919331,0.039449,0.276340,-0.408832,0.001093,0.078063,0.266113,-0.418127,0.933362,-0.016543,0.246663,-0.463216,0.947662,0.014502,0.279164,-0.408121,0.847160,0.093467,0.292037,-0.377990,0.794940,0.046062,0.303013,-0.366727,0.911303,-0.017746,0.306437,-0.369505,0.984047,0.078439,0.241069,-0.458388,0.910804,-0.134020,0.673387,-0.528978,,,,,,,,,,,,,-0.091357,0.620228,-0.584697,0.040117,0.665520,-0.568327,0.005716,0.590007,-0.571768,0.074494,0.615748,-0.567934,0.078139,0.266232,-0.417901,-0.016631,0.246691,-0.463404,0.014589,0.278982,-0.407544,0.093586,0.292163,-0.378791,0.045873,0.302899,-0.366450,-0.017801,0.306466,-0.369517,0.078424,0.240888,-0.458082
9,0.075000,0.623888,0.779296,0.029281,0.051035,0.007232,0.622815,-0.572805,0.000930,-0.091573,0.620261,-0.584655,0.942943,0.040189,0.665768,-0.569252,0.763359,0.005712,0.589663,-0.570628,0.733995,0.074601,0.615569,-0.566684,0.668580,-0.020563,0.310998,-0.240089,-0.919356,0.039451,0.276354,-0.408860,0.001091,0.078062,0.266129,-0.418163,0.920857,-0.016551,0.246677,-0.463235,0.965710,0.014503,0.279177,-0.408145,0.851824,0.093473,0.292052,-0.378028,0.742160,0.046070,0.303026,-0.366756,0.888153,-0.017738,0.306447,-0.369521,0.980880,0.078432,0.241087,-0.458426,0.904219,-0.134044,0.673376,-0.528769,,,,,,,,,,,,,-0.091351,0.620224,-0.584693,0.040110,0.665528,-0.568340,0.005696,0.589976,-0.571645,0.074491,0.615752,-0.567992,0.078139,0.266221,-0.417870,-0.016633,0.246680,-0.463345,0.014591,0.279002,-0.407585,0.093615,0.292245,-0.379031,0.045870,0.302879,-0.366383,-0.017804,0.306477,-0.369545,0.078414,0.240896,-0.458094
10,0.083333,0.623912,0.779271,0.029186,0.051176,0.007230,0.622819,-0.572803,0.000932,-0.091574,0.620269,-0.584662,0.942879,0.040191,0.665770,-0.569261,0.760517,0.005707,0.589668,-0.570616,0.730368,0.074598,0.615568,-0.566673,0.667504,-0.020496,0.311125,-0.240024,-0.919331,0.039445,0.276338,-0.408835,0.001093,0.078058,0.266107,-0.418127,0.928929,-0.016545,0.246669,-0.463225,0.965748,0.014499,0.279165,-0.408127,0.858394,0.093462,0.292029,-0.377988,0.801733,0.046058,0.303010,-0.366730,0.912060,-0.017750,0.306441,-0.369513,0.972715,0.078435,0.241064,-0.458389,0.918655,-0.134051,0.673381,-0.528730,,,,,,,,,,,,,-0.091353,0.620231,-0.584706,0.040111,0.665529,-0.568337,0.005697,0.589989,-0.571646,0.074484,0.615747,-0.567986,0.078140,0.266224,-0.417881,-0.016636,0.246661,-0.463327,0.014586,0.279003,-0.407591,0.093579,0.292140,-0.378764,0.045871,0.302897,-0.366453,-0.017797,0.306491,-0.369597,0.078422,0.240894,-0.458112
11,0.091667,0.623840,0.779351,0.029042,0.050915,0.007237,0.622836,-0.572843,0.000933,-0.091574,0.620266,-0.584644,0.944288,0.040190,0.665794,-0.569317,0.746065,0.005722,0.589684,-0.570659,0.712153,0.074609,0.615599,-0.566753,0.668409,-0.020545,0.311095,-0.240068,-0.919329,0.039447,0.276336,-0.408826,0.001096,0.078060,0.266110,-0.418121,0.928489,-0.016545,0.246663,-0.463213,0.965480,0.014500,0.279160,-0.408115,0.857206,0.093464,0.292031,-0.377982,0.803762,0.046059,0.303006,-0.366719,0.911465,-0.017749,0.306430,-0.369498,0.962734,0.078437,0.241069,-0.458384,0.912786,-0.134054,0.673357,-0.528695,,,,,,,,,,,,,-0.091357,0.620225,-0.584677,0.040110,0.665538,-0.568337,0.005709,0.590021,-0.571759,0.074503,0.615782,-0.568063,0.078134,0.266223,-0.417869,-0.016640,0.246654,-0.463312,0.014586,0.278989,-0.407577,0.093589,0.292146,-0.378748,0.045870,0.302883,-0.366447,-0.017800,0.306501,-0.369618,0.078425,0.240893,-0.458083
12,0.100000,0.623934,0.779182,0.029277,0.052205,0.007218,0.622823,-0.572687,0.000934,-0.091566,0.620279,-0.584713,0.947306,0.040181,0.665771,-0.569136,0.783297,0.005684,0.589674,-0.570465,0.713019,0.074573,0.615566,-0.566432,0.693764,-0.020590,0.310989,-0.240118,-0.919350,0.039451,0.276356,-0.408870,0.001091,0.078064,0.266134,-0.418174,0.924348,-0.016549,0.246676,-0.463244,0.967796,0.014504,0.279177,-0.408154,0.854407,0.093473,0.292057,-0.378038,0.734702,0.046070,0.303027,-0.366765,0.902190,-0.017739,0.306443,-0.369529,0.981876,0.078434,0.241093,-0.458437,0.888510,-0.134022,0.673395,-0.528979,,,,,,,,,,,,,-0.091360,0.620236,-0.584694,0.040106,0.665543,-0.568303,0.005695,0.590001,-0.571566,0.074448,0.615729,-0.567640,0.078139,0.266237,-0.417900,-0.016636,0.246672,-0.463339,0.014589,0.278999,-0.407606,0.093608,0.292249,-0.379073,0.045874,0.302904,-0.366450,-0.017805,0.306468,-0.369512,0.078417,0.240884,-0.458044
13,0.108333,0.623969,0.779170,0.029058,0.052086,0.007221,0.622824,-0.572733,0.000940,-0.091569,0.620287,-0.584714,0.945835,0.040189,0.665771,-0.569206,0.779826,0.005685,0.589676,-0.570505,0.686047,0.074578,0.615563,-0.566508,0.701625,-0.020592,0.311113,-0.239995,-0.919341,0.039445,0.276338,-0.408830,0.001092,0.078057,0.266109,-0.418126,0.929407,-0.016550,0.246679,-0.463221,0.962994,0.014498,0.279165,-0.408119,0.862558,0.093464,0.292023,-0.377984,0.787446,0.046061,0.303002,-0.366720,0.913986,-0.017747,0.306433,-0.369498,0.977877,0.078432,0.241073,-0.458393,0.901003,-0.134047,0.673387,-0.528797,,,,,,,,,,,,,-0.091362,0.620241,-0.584669,0.040110,0.665532,-0.568362,0.005706,0.590028,-0.571710,0.074449,0.615723,-0.567684,0.078131,0.266215,-0.417875,-0.016644,0.246677,-0.463335,0.014585,0.279008,-0.407599,0.093586,0.292157,-0.378814,0.045873,0.302891,-0.366453,-0.017803,0.306473,-0.369553,0.078420,0.240881,-0.458047
14,0.116667,0.623874,0.779193,0.027924,0.053479,0.007210,0.622818,-0.572667,0.000939,-0.091570,0.620240,-0.584714,0.946011,0.040176,0.665776,-0.569266,0.755469,0.005672,0.589678,-0.570323,0.705530,0.074563,0.615577,-0.566365,0.678360,-0.020439,0.311118,-0.240022,-0.919335,0.039445,0.276339,-0.408835,0.001096,0.078058,0.266106,-0.418126,0.919193,-0.016546,0.246666,-0.463223,0.950381,0.014498,0.279167,-0.408128,0.858122,0.093462,0.292031,-0.377989,0.788352,0.046058,0.303015,-0.366732,0.911987,-0.017749,0.306448,-0.369517,0.973921,0.078434,0.241058,-0.458385,0.906529,-0.134031,0.673396,-0.528933,,,,,,,,,,,,,-0.091362,0.620190,-0.584687,0.040103,0.665547,-0.568318,0.005669,0.590021,-0.571450,0.074444,0.615737,-0.567636,0.078134,0.266200,-0.417826,-0.016639,0.246682,-0.463397,0.014586,0.279003,-0.407592,0.093580,0.292158,-0.378818,0.045868,0.302903,-0.366458,-0.017798,0.306500,-0.369594,0.078424,0.240878,-0.458058
15,0.125000,0.623999,0.779123,0.027886,0.053060,0.007188,0.622831,-0.572678,0.000936,-0.091602,0.620285,-0.584657,0.952742,0.040168,0.665779,-0.569279,0.745297,0.005643,0.589690,-0.570349,0.719194,0.074543,0.615570,-0.566427,0.694081,-0.020588,0.311008,-0.240052,-0.919361,0.039449,0.276354,-0.408864,0.001091,0.078061,0.266127,-0.418167,0.922422,-0.016554,0.246684,-0.463241,0.967400,0.014502,0.279178,-0.408148,0.843111,0.093472,0.292047,-0.378030,0.736169,0.046071,0.303022,-0.366757,0.885258,-0.017738,0.306447,-0.369523,0.978893,0.078429,0.241088,-0.458432,0.899595,-0.134055,0.673384,-0.528716,,,,,,,,,,,,,-0.091419,0.620236,-0.584663,0.040098,0.665542,-0.568291,0.005648,0.590025,-0.571421,0.074440,0.615725,-0.567637,0.078139,0.266224,-0.417883,-0.016642,0.246681,-0.463337,0.014581,0.278987,-0.407556,0.093620,0.292241,-0.379057,0.045867,0.302876,-0.366372,-0.017802,0.306485,-0.369562,0.078419,0.240893,-0.458081
