Format Version,1.23,Take Name,Take 2023-05-09 06.27.02 PM_008,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-09 06.33.28.044 오후,Capture Start Frame,512948,Total Frames in Take,350,Total Exported Frames,350,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.657429,0.751348,0.027891,0.049861,0.045399,0.614120,-0.572084,0.000948,-0.053282,0.620238,-0.583662,0.973031,0.081983,0.654022,-0.568444,0.708713,0.041001,0.581217,-0.570044,0.764769,0.111895,0.601004,-0.566187,0.664411,-0.020520,0.311038,-0.240062,-0.919350,0.039451,0.276352,-0.408876,0.001095,0.078063,0.266124,-0.418175,0.925787,-0.016547,0.246677,-0.463255,0.960176,0.014504,0.279177,-0.408164,0.854535,0.093472,0.292048,-0.378039,0.787944,0.046069,0.303025,-0.366772,0.916350,-0.017740,0.306451,-0.369544,0.984084,0.078435,0.241080,-0.458437,0.914318,,,,,,,,,,,,,-0.053182,0.620212,-0.583697,0.081898,0.653715,-0.567305,0.041057,0.581550,-0.570943,0.111812,0.601191,-0.567438,0.078134,0.266208,-0.417870,-0.016627,0.246682,-0.463373,0.014587,0.279002,-0.407606,0.093608,0.292246,-0.379069,0.045877,0.302900,-0.366453,-0.017801,0.306480,-0.369565,0.078421,0.240885,-0.458081
7,0.058333,0.657397,0.751334,0.027957,0.050446,0.045404,0.614132,-0.572122,0.000940,-0.053266,0.620242,-0.583800,0.972683,0.081983,0.654037,-0.568473,0.704386,0.041003,0.581231,-0.570064,0.760068,0.111894,0.601020,-0.566152,0.683121,-0.020517,0.311067,-0.240097,-0.919331,0.039446,0.276346,-0.408848,0.001093,0.078059,0.266121,-0.418144,0.919078,-0.016547,0.246667,-0.463230,0.964388,0.014498,0.279169,-0.408137,0.852475,0.093463,0.292046,-0.378007,0.735577,0.046059,0.303020,-0.366744,0.901786,-0.017750,0.306441,-0.369520,0.982137,0.078435,0.241076,-0.458405,0.898681,,,,,,,,,,,,,-0.053148,0.620218,-0.583860,0.081900,0.653711,-0.567258,0.041052,0.581566,-0.570947,0.111792,0.601242,-0.567570,0.078139,0.266237,-0.417885,-0.016639,0.246669,-0.463346,0.014588,0.279000,-0.407612,0.093585,0.292171,-0.378809,0.045869,0.302896,-0.366448,-0.017803,0.306484,-0.369565,0.078424,0.240896,-0.458109
8,0.066667,0.657435,0.751297,0.027653,0.050665,0.045408,0.614135,-0.572097,0.000939,-0.053261,0.620250,-0.583772,0.967674,0.081994,0.654036,-0.568480,0.697108,0.041003,0.581235,-0.570014,0.751288,0.111897,0.601017,-0.566121,0.694778,-0.020509,0.311066,-0.240079,-0.919336,0.039445,0.276343,-0.408841,0.001093,0.078058,0.266116,-0.418137,0.932526,-0.016549,0.246665,-0.463223,0.962094,0.014498,0.279167,-0.408130,0.853747,0.093463,0.292040,-0.378000,0.784187,0.046059,0.303017,-0.366737,0.899304,-0.017749,0.306440,-0.369513,0.974824,0.078433,0.241071,-0.458398,0.910691,,,,,,,,,,,,,-0.053150,0.620226,-0.583833,0.081901,0.653721,-0.567314,0.041031,0.581574,-0.570949,0.111835,0.601205,-0.567326,0.078132,0.266238,-0.417908,-0.016630,0.246669,-0.463351,0.014586,0.278992,-0.407578,0.093588,0.292178,-0.378843,0.045870,0.302883,-0.366407,-0.017801,0.306490,-0.369584,0.078415,0.240891,-0.458090
9,0.075000,0.657390,0.751382,0.027792,0.049913,0.045408,0.614118,-0.572067,0.000942,-0.053274,0.620224,-0.583641,0.972759,0.081988,0.654023,-0.568438,0.705745,0.041013,0.581215,-0.570019,0.746524,0.111905,0.601009,-0.566171,0.712255,-0.020520,0.311069,-0.240064,-0.919339,0.039443,0.276337,-0.408834,0.001094,0.078056,0.266109,-0.418130,0.929739,-0.016552,0.246662,-0.463217,0.961983,0.014496,0.279162,-0.408123,0.852968,0.093461,0.292033,-0.377993,0.803619,0.046058,0.303010,-0.366729,0.914637,-0.017750,0.306435,-0.369505,0.977425,0.078430,0.241066,-0.458392,0.917424,-0.094145,0.674568,-0.524915,,,,,,,,,,-0.053176,0.620197,-0.583681,0.081901,0.653719,-0.567304,0.041059,0.581561,-0.570971,0.111834,0.601179,-0.567307,0.078134,0.266217,-0.417883,-0.016641,0.246666,-0.463340,0.014582,0.278994,-0.407565,0.093585,0.292148,-0.378760,0.045873,0.302900,-0.366464,-0.017805,0.306474,-0.369566,0.078418,0.240894,-0.458110
10,0.083333,0.657457,0.751272,0.028561,0.050243,0.045424,0.614112,-0.572030,0.000944,-0.053239,0.620245,-0.583748,0.973317,0.082006,0.654008,-0.568316,0.652189,0.041019,0.581209,-0.570013,0.744976,0.111910,0.600986,-0.566042,0.666571,-0.020538,0.311072,-0.240051,-0.919341,0.039442,0.276341,-0.408839,0.001093,0.078055,0.266113,-0.418135,0.931721,-0.016553,0.246669,-0.463223,0.955950,0.014495,0.279166,-0.408127,0.855739,0.093461,0.292034,-0.377998,0.795868,0.046058,0.303012,-0.366733,0.908419,-0.017750,0.306438,-0.369508,0.979686,0.078429,0.241071,-0.458398,0.911545,-0.094150,0.674574,-0.524839,,,,,,,,,,-0.053152,0.620208,-0.583797,0.081940,0.653677,-0.566966,0.041059,0.581567,-0.570967,0.111828,0.601185,-0.567358,0.078130,0.266232,-0.417902,-0.016638,0.246683,-0.463377,0.014586,0.278997,-0.407583,0.093582,0.292158,-0.378796,0.045870,0.302892,-0.366442,-0.017801,0.306478,-0.369558,0.078413,0.240891,-0.458095
11,0.091667,0.657362,0.751344,0.028502,0.050461,0.045422,0.614104,-0.572054,0.000942,-0.053240,0.620211,-0.583800,0.974533,0.081994,0.654009,-0.568347,0.644882,0.041024,0.581200,-0.570026,0.747162,0.111909,0.600995,-0.566045,0.648112,-0.020504,0.311078,-0.240026,-0.919346,0.039445,0.276340,-0.408827,0.001093,0.078057,0.266109,-0.418123,0.936885,-0.016551,0.246670,-0.463211,0.965073,0.014498,0.279167,-0.408116,0.851624,0.093464,0.292031,-0.377986,0.786247,0.046061,0.303012,-0.366722,0.904827,-0.017746,0.306442,-0.369499,0.982060,0.078430,0.241065,-0.458385,0.905913,-0.094156,0.674554,-0.524740,,,,,,,,,,-0.053150,0.620171,-0.583826,0.081936,0.653678,-0.566966,0.041059,0.581556,-0.570972,0.111819,0.601204,-0.567434,0.078140,0.266232,-0.417919,-0.016638,0.246667,-0.463320,0.014578,0.278995,-0.407554,0.093591,0.292165,-0.378820,0.045873,0.302889,-0.366415,-0.017804,0.306475,-0.369528,0.078418,0.240879,-0.458058
12,0.100000,0.657458,0.751257,0.028855,0.050289,0.045427,0.614113,-0.572025,0.000940,-0.053231,0.620250,-0.583786,0.972503,0.082007,0.654008,-0.568279,0.659709,0.041022,0.581209,-0.570023,0.757983,0.111910,0.600985,-0.566012,0.669433,-0.020599,0.311003,-0.240096,-0.919351,0.039446,0.276352,-0.408870,0.001091,0.078058,0.266130,-0.418174,0.915008,-0.016555,0.246677,-0.463247,0.969927,0.014498,0.279174,-0.408155,0.852990,0.093468,0.292051,-0.378037,0.743581,0.046065,0.303022,-0.366764,0.904122,-0.017744,0.306440,-0.369529,0.982226,0.078428,0.241090,-0.458438,0.901545,,,,,,,,,,,,,-0.053143,0.620219,-0.583845,0.081942,0.653677,-0.566960,0.041054,0.581550,-0.570928,0.111836,0.601189,-0.567316,0.078130,0.266216,-0.417853,-0.016640,0.246670,-0.463331,0.014583,0.278997,-0.407600,0.093608,0.292240,-0.379035,0.045867,0.302895,-0.366461,-0.017806,0.306473,-0.369545,0.078417,0.240896,-0.458096
13,0.108333,0.657393,0.751350,0.028389,0.050026,0.045413,0.614122,-0.572095,0.000941,-0.053259,0.620236,-0.583758,0.969427,0.081989,0.654025,-0.568400,0.704190,0.041016,0.581217,-0.570076,0.764983,0.111904,0.601009,-0.566144,0.673722,-0.020577,0.311061,-0.240088,-0.919334,0.039444,0.276338,-0.408833,0.001095,0.078057,0.266114,-0.418132,0.931223,-0.016551,0.246663,-0.463217,0.962325,0.014496,0.279161,-0.408121,0.847789,0.093462,0.292035,-0.377994,0.783599,0.046058,0.303007,-0.366727,0.907155,-0.017751,0.306428,-0.369500,0.982309,0.078432,0.241074,-0.458396,0.918295,,,,,,,,,,,,,-0.053151,0.620213,-0.583811,0.081898,0.653715,-0.567262,0.041073,0.581551,-0.570953,0.111819,0.601201,-0.567432,0.078134,0.266233,-0.417897,-0.016636,0.246665,-0.463341,0.014584,0.278986,-0.407544,0.093582,0.292173,-0.378840,0.045869,0.302887,-0.366431,-0.017804,0.306461,-0.369532,0.078417,0.240902,-0.458119
14,0.116667,0.657479,0.751235,0.029037,0.050243,0.045428,0.614109,-0.572033,0.000945,-0.053228,0.620254,-0.583809,0.971641,0.082009,0.654001,-0.568267,0.657924,0.041021,0.581204,-0.570043,0.752217,0.111909,0.600977,-0.566013,0.631202,-0.020497,0.311094,-0.240039,-0.919338,0.039447,0.276338,-0.408834,0.001096,0.078060,0.266108,-0.418128,0.919849,-0.016546,0.246666,-0.463219,0.962767,0.014500,0.279164,-0.408124,0.864546,0.093465,0.292031,-0.377990,0.794855,0.046061,0.303011,-0.366729,0.918316,-0.017747,0.306440,-0.369509,0.976812,0.078435,0.241064,-0.458389,0.908338,,,,,,,,,,,,,-0.053124,0.620214,-0.583828,0.081942,0.653668,-0.566942,0.041058,0.581555,-0.570969,0.111811,0.601201,-0.567468,0.078134,0.266196,-0.417828,-0.016636,0.246670,-0.463338,0.014588,0.279000,-0.407615,0.093589,0.292156,-0.378792,0.045874,0.302909,-0.366481,-0.017803,0.306484,-0.369567,0.078419,0.240885,-0.458069
15,0.125000,0.657471,0.751267,0.028650,0.050080,0.045427,0.614122,-0.572074,0.000946,-0.053238,0.620260,-0.583777,0.971641,0.082010,0.654017,-0.568350,0.657924,0.041023,0.581218,-0.570068,0.752217,0.111913,0.600994,-0.566099,0.631202,-0.020533,0.311046,-0.240100,-0.919337,0.039444,0.276341,-0.408836,0.001096,0.078057,0.266116,-0.418134,0.919849,-0.016550,0.246661,-0.463216,0.962767,0.014497,0.279164,-0.408124,0.864546,0.093463,0.292041,-0.377998,0.794855,0.046059,0.303014,-0.366732,0.918316,-0.017749,0.306435,-0.369505,0.976812,0.078432,0.241072,-0.458396,0.908338,,,,,,,,,,,,,-0.053108,0.620239,-0.583842,0.081904,0.653712,-0.567287,0.041060,0.581551,-0.570959,0.111835,0.601185,-0.567344,0.078135,0.266224,-0.417860,-0.016638,0.246668,-0.463355,0.014583,0.278984,-0.407542,0.093590,0.292172,-0.378829,0.045868,0.302900,-0.366460,-0.017803,0.306474,-0.369550,0.078420,0.240896,-0.458106
