Format Version,1.23,Take Name,Take 2023-05-09 06.27.02 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-09 06.29.03.091 오후,Capture Start Frame,481150,Total Frames in Take,1306,Total Exported Frames,1306,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,"c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4",test1,test1,test1,test1,test1,test1,test1,test1,"test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker7",Unlabeled 1223,Unlabeled 1223,Unlabeled 1223,c-arm:Marker1,c-arm:Marker1,c-arm:Marker1,c-arm:Marker2,c-arm:Marker2,c-arm:Marker2,c-arm:Marker3,c-arm:Marker3,c-arm:Marker3,c-arm:Marker4,c-arm:Marker4,c-arm:Marker4,test1:Marker1,test1:Marker1,test1:Marker1,test1:Marker2,test1:Marker2,test1:Marker2,test1:Marker3,test1:Marker3,test1:Marker3,test1:Marker4,test1:Marker4,test1:Marker4,test1:Marker5,test1:Marker5,test1:Marker5,test1:Marker6,test1:Marker6,test1:Marker6,test1:Marker7,test1:Marker7,test1:Marker7
,ID,"BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","C6FE0","C6FE0","C6FE0","C6FD0","C6FD0","C6FD0","C6F60","C6F60","C6F60","C6F70","C6F70","C6F70","C6F50","C6F50","C6F50","C6FA0","C6FA0","C6FA0","C6FF0","C6FF0","C6FF0","C6FC0","C6FC0","C6FC0","C6F80","C6F80","C6F80","C6FB0","C6FB0","C6FB0","C7000","C7000","C7000","C6F90","C6F90","C6F90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.723640,0.688659,0.022014,0.040127,0.107944,0.579121,-0.539360,0.000969,0.011812,0.603186,-0.548788,0.908203,0.151217,0.611676,-0.536002,0.815449,0.097690,0.547530,-0.537630,0.726083,0.171056,0.554090,-0.535021,0.697787,-0.020653,0.311118,-0.240327,-0.919251,0.039408,0.276352,-0.408803,0.001091,0.078028,0.266149,-0.418097,0.940086,-0.016564,0.246649,-0.463195,0.965756,0.014459,0.279162,-0.408094,0.856930,0.093414,0.292077,-0.377956,0.787703,0.046003,0.303024,-0.366695,0.904877,-0.017807,0.306411,-0.369477,0.976976,0.078421,0.241110,-0.458362,0.909741,-0.012111,0.664306,-0.492947,0.011940,0.603070,-0.548464,0.151084,0.611456,-0.535310,0.097709,0.547924,-0.538652,0.170950,0.554263,-0.536212,0.078102,0.266275,-0.417908,-0.016652,0.246655,-0.463299,0.014555,0.278992,-0.407556,0.093527,0.292221,-0.378785,0.045811,0.302903,-0.366390,-0.017852,0.306450,-0.369547,0.078409,0.240922,-0.458054
1,0.008333,0.723608,0.688725,0.021815,0.039676,0.107940,0.579112,-0.539323,0.000966,0.011796,0.603167,-0.548654,0.908203,0.151212,0.611672,-0.535992,0.815449,0.097693,0.547519,-0.537595,0.726083,0.171060,0.554088,-0.535050,0.697787,-0.020587,0.311113,-0.240374,-0.919242,0.039409,0.276352,-0.408804,0.001087,0.078030,0.266150,-0.418095,0.940086,-0.016559,0.246638,-0.463193,0.965756,0.014460,0.279161,-0.408096,0.856930,0.093413,0.292085,-0.377957,0.787703,0.046001,0.303031,-0.366700,0.904877,-0.017809,0.306414,-0.369484,0.976976,0.078426,0.241105,-0.458356,0.909741,-0.012118,0.664317,-0.492947,0.011918,0.603051,-0.548313,0.151088,0.611445,-0.535292,0.097714,0.547918,-0.538675,0.170951,0.554264,-0.536204,0.078103,0.266268,-0.417872,-0.016649,0.246664,-0.463358,0.014560,0.278993,-0.407588,0.093524,0.292213,-0.378767,0.045805,0.302929,-0.366431,-0.017856,0.306428,-0.369455,0.078408,0.240927,-0.458069
2,0.016667,0.723608,0.688715,0.022407,0.039506,0.107942,0.579118,-0.539347,0.000974,0.011803,0.603180,-0.548712,0.904867,0.151210,0.611677,-0.535954,0.813433,0.097695,0.547523,-0.537659,0.712124,0.171060,0.554093,-0.535061,0.707009,-0.020616,0.311104,-0.240306,-0.919262,0.039408,0.276343,-0.408781,0.001088,0.078027,0.266136,-0.418075,0.934148,-0.016566,0.246640,-0.463170,0.952623,0.014459,0.279154,-0.408072,0.863979,0.093416,0.292066,-0.377936,0.793359,0.046005,0.303017,-0.366675,0.913124,-0.017805,0.306408,-0.369455,0.985912,0.078418,0.241095,-0.458338,0.915663,-0.012110,0.664312,-0.492975,0.011923,0.603067,-0.548392,0.151082,0.611448,-0.535235,0.097717,0.547924,-0.538724,0.170952,0.554265,-0.536212,0.078098,0.266253,-0.417875,-0.016659,0.246643,-0.463281,0.014553,0.279001,-0.407550,0.093527,0.292203,-0.378753,0.045816,0.302908,-0.366399,-0.017845,0.306443,-0.369525,0.078412,0.240903,-0.458004
3,0.025000,0.723603,0.688723,0.022019,0.039697,0.107945,0.579114,-0.539325,0.000964,0.011804,0.603170,-0.548682,0.909976,0.151215,0.611674,-0.535972,0.808658,0.097698,0.547520,-0.537609,0.715256,0.171064,0.554091,-0.535039,0.707787,-0.020601,0.311075,-0.240310,-0.919271,0.039410,0.276352,-0.408805,0.001092,0.078028,0.266144,-0.418101,0.939454,-0.016567,0.246647,-0.463190,0.963832,0.014461,0.279163,-0.408095,0.862009,0.093419,0.292076,-0.377964,0.790944,0.046010,0.303027,-0.366701,0.912075,-0.017800,0.306419,-0.369478,0.978096,0.078417,0.241101,-0.458363,0.903765,-0.012119,0.664310,-0.492906,0.011923,0.603046,-0.548329,0.151102,0.611448,-0.535212,0.097712,0.547922,-0.538687,0.170947,0.554269,-0.536241,0.078103,0.266283,-0.417923,-0.016660,0.246652,-0.463318,0.014560,0.278993,-0.407551,0.093539,0.292202,-0.378790,0.045809,0.302921,-0.366415,-0.017846,0.306444,-0.369498,0.078409,0.240915,-0.458045
4,0.033333,0.723643,0.688674,0.022188,0.039701,0.107957,0.579121,-0.539356,0.000973,0.011820,0.603189,-0.548730,0.902007,0.151229,0.611676,-0.535984,0.799801,0.097705,0.547528,-0.537649,0.712508,0.171071,0.554089,-0.535059,0.694773,-0.020582,0.311111,-0.240335,-0.919253,0.039408,0.276348,-0.408798,0.001087,0.078028,0.266142,-0.418090,0.940627,-0.016563,0.246639,-0.463186,0.960431,0.014460,0.279158,-0.408090,0.855540,0.093414,0.292075,-0.377952,0.788936,0.046003,0.303025,-0.366693,0.908798,-0.017807,0.306414,-0.369477,0.986078,0.078422,0.241097,-0.458351,0.907915,-0.012116,0.664300,-0.492940,0.011930,0.603062,-0.548357,0.151141,0.611452,-0.535188,0.097712,0.547920,-0.538730,0.170951,0.554272,-0.536252,0.078097,0.266264,-0.417870,-0.016654,0.246664,-0.463349,0.014556,0.278966,-0.407503,0.093528,0.292215,-0.378790,0.045810,0.302909,-0.366393,-0.017849,0.306453,-0.369534,0.078416,0.240920,-0.458067
5,0.041667,0.723609,0.688714,0.022073,0.039698,0.107942,0.579117,-0.539337,0.000973,0.011802,0.603175,-0.548700,0.897677,0.151213,0.611676,-0.535978,0.792204,0.097694,0.547523,-0.537624,0.712493,0.171060,0.554092,-0.535048,0.696794,-0.020648,0.311162,-0.240297,-0.919244,0.039409,0.276353,-0.408808,0.001088,0.078029,0.266148,-0.418099,0.934949,-0.016560,0.246655,-0.463205,0.953120,0.014460,0.279164,-0.408101,0.843885,0.093413,0.292074,-0.377955,0.785608,0.046002,0.303023,-0.366698,0.906071,-0.017808,0.306414,-0.369485,0.979558,0.078424,0.241110,-0.458364,0.916262,-0.012116,0.664300,-0.492914,0.011925,0.603056,-0.548358,0.151086,0.611454,-0.535279,0.097718,0.547924,-0.538695,0.170949,0.554262,-0.536213,0.078100,0.266277,-0.417889,-0.016648,0.246682,-0.463371,0.014558,0.279009,-0.407602,0.093526,0.292196,-0.378737,0.045809,0.302909,-0.366398,-0.017850,0.306440,-0.369523,0.078415,0.240919,-0.458063
