Format Version,1.23,Take Name,Take 2023-04-19 05.18.13 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-04-19 05.18.14.345 오후,Capture Start Frame,230959,Total Frames in Take,5379,Total Exported Frames,5379,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.337296,0.657767,0.490033,0.461998,0.042701,0.121177,0.033360,0.000959,0.159573,0.167679,0.038633,0.767084,0.206766,0.184089,0.034067,0.816291,0.243638,0.227599,0.021122,0.333904,0.296894,0.185866,0.034378,0.972665,0.159820,0.167649,0.037664,0.206729,0.184037,0.033372,0.243333,0.227611,0.023863,0.296814,0.185951,0.034432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.337773,0.657743,0.490147,0.461561,0.042674,0.121131,0.033589,0.000954,0.159555,0.167615,0.038794,0.746825,0.206746,0.184024,0.034198,0.823322,0.243610,0.227542,0.021258,0.327821,0.296875,0.185791,0.034426,0.953378,0.159803,0.167583,0.037813,0.206710,0.183976,0.033494,0.243310,0.227541,0.023930,0.296786,0.185887,0.034558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.338295,0.657763,0.490174,0.461122,0.042643,0.121122,0.033827,0.000956,0.159540,0.167577,0.038943,0.746825,0.206729,0.183979,0.034308,0.823322,0.243589,0.227499,0.021362,0.327821,0.296858,0.185726,0.034439,0.953378,0.159793,0.167542,0.037938,0.206686,0.183936,0.033599,0.243294,0.227483,0.023949,0.296761,0.185836,0.034673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.338801,0.657547,0.490565,0.460643,0.042616,0.121084,0.033945,0.000958,0.159516,0.167533,0.039054,0.738345,0.206702,0.183943,0.034413,0.819353,0.243552,0.227483,0.021508,0.365810,0.296831,0.185692,0.034487,0.928397,0.159762,0.167496,0.038037,0.206659,0.183901,0.033692,0.243263,0.227451,0.024028,0.296731,0.185807,0.034729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.337020,0.658687,0.488922,0.462064,0.042593,0.121021,0.034160,0.000954,0.159475,0.167524,0.039164,0.738345,0.206665,0.183917,0.034495,0.819353,0.243525,0.227388,0.021389,0.365810,0.296794,0.185685,0.034690,0.928397,0.159727,0.167484,0.038175,0.206631,0.183878,0.033810,0.243231,0.227394,0.024114,0.296701,0.185781,0.034801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.336819,0.658616,0.488989,0.462242,0.042571,0.120982,0.034129,0.000956,0.159446,0.167497,0.039191,0.748103,0.206636,0.183894,0.034545,0.837825,0.243499,0.227368,0.021452,0.309903,0.296765,0.185672,0.034788,0.962925,0.159702,0.167459,0.038217,0.206589,0.183855,0.033899,0.243209,0.227381,0.024197,0.296671,0.185761,0.034860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.338926,0.658136,0.489806,0.460517,0.042495,0.121064,0.034463,0.000960,0.159418,0.167480,0.039350,0.748103,0.206603,0.183868,0.034623,0.837825,0.243451,0.227378,0.021609,0.309903,0.296733,0.185586,0.034573,0.962925,0.159669,0.167438,0.038292,0.206556,0.183836,0.033932,0.243165,0.227337,0.024222,0.296621,0.185719,0.034842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.338336,0.658399,0.489413,0.460993,0.042453,0.121031,0.034501,0.000953,0.159366,0.167470,0.039393,0.723827,0.206553,0.183855,0.034672,0.849836,0.243404,0.227349,0.021613,0.341265,0.296683,0.185585,0.034683,0.920704,0.159632,0.167425,0.038322,0.206505,0.183825,0.034074,0.243123,0.227333,0.024233,0.296569,0.185708,0.034952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.338162,0.658364,0.489475,0.461106,0.042421,0.120988,0.034478,0.000956,0.159324,0.167445,0.039411,0.723827,0.206510,0.183838,0.034706,0.849836,0.243360,0.227335,0.021656,0.341265,0.296640,0.185581,0.034752,0.920704,0.159582,0.167396,0.038307,0.206456,0.183809,0.034102,0.243086,0.227299,0.024203,0.296513,0.185710,0.035022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.349166,0.647371,0.503892,0.452865,0.042303,0.121022,0.031407,0.000981,0.159243,0.167146,0.038242,0.904999,0.206430,0.183711,0.034205,0.967110,0.243284,0.227737,0.023081,0.681563,0.296561,0.185403,0.034173,0.780795,0.159522,0.167389,0.038324,0.206392,0.183808,0.034126,0.243026,0.227293,0.024247,0.296464,0.185702,0.034991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
