FRAME,TIME,AP/LL
1933,139068149693804,AP
2957,139068149702576,AP
4451,139068149715405,LL
5637,139068149729674,AP
8647,139068149755407,AP
14803,139068149812092,AP
16461,139068149826296,AP
17667,139068149836636,AP
19023,139068149848274,AP
21469,139068149873283,AP
24887,139068149902511,AP
26309,139068149914715,AP
27877,139068149932256,AP
